PortfolioID,InstrumentID,Amount
1,31,347
1,1029,360
1,1061,351
1,1129,117
1,1172,527
1,1263,52
1,1287,129
1,1293,28
1,1339,522
1,1343,65
1,1371,307
1,1953,538
1,2105,531
1,2150,381
1,2193,18
1,2294,162
1,2455,212
1,3671,347
2,10,440
2,17,651
2,39,664
2,47,562
2,50,457
2,52,249
2,62,231
2,110,563
2,144,379
2,150,732
2,153,470
2,161,396
2,165,321
2,168,206
2,185,374
2,186,340
2,208,255
2,222,754
2,225,320
2,235,260
2,248,286
2,253,436
2,261,416
2,265,695
2,266,707
2,272,213
2,273,501
2,292,304
2,296,598
2,300,244
2,314,508
2,317,102
2,339,394
2,349,577
2,350,591
2,356,269
2,357,345
2,364,298
2,367,356
2,370,74
2,371,356
2,372,287
2,377,256
2,382,366
2,405,45
2,410,214
2,454,512
2,457,297
2,468,410
2,474,163
2,480,533
2,485,250
2,497,340
2,500,592
2,508,562
2,509,517
2,515,585
2,527,422
2,537,487
2,539,254
2,550,392
2,551,688
2,552,336
2,585,640
2,586,301
2,587,304
2,588,205
2,589,644
2,590,717
2,592,795
2,593,202
2,616,344
2,661,545
2,720,457
3,60,292
3,110,582
3,247,551
3,267,350
3,296,689
3,318,727
3,355,360
3,356,663
3,377,327
3,527,232
3,588,350
3,592,279
3,593,222
3,595,99
3,736,474
3,778,421
3,866,307
3,1197,649
3,1210,318
3,1235,508
3,1271,320
3,1378,413
3,1580,403
3,1721,758
3,1884,476
3,2028,532
3,2318,558
3,2513,226
3,2694,232
3,2702,595
3,2716,294
3,2762,537
3,2841,412
3,2858,468
3,2959,690
3,3243,304
3,3510,451
3,3949,674
3,5349,377
3,5669,485
3,6377,351
3,7153,252
3,7361,351
3,8622,460
3,8636,249
3,27369,529
3,44191,475
3,48783,614
3,50068,677
3,58559,386
3,84236,588
4,10,407
4,34,679
4,112,602
4,141,679
4,153,511
4,173,345
4,185,292
4,260,730
4,289,447
4,296,799
4,329,237
4,349,690
4,356,695
4,357,724
4,364,693
4,367,559
4,380,320
4,410,332
4,431,223
4,434,583
4,440,430
4,442,456
4,464,454
4,480,673
4,541,626
4,588,601
4,589,654
4,590,280
4,594,669
4,596,686
4,610,433
4,616,774
4,858,764
4,903,607
4,910,519
4,913,719
4,919,717
4,1011,540
4,1016,520
4,1022,742
4,1028,686
4,1030,762
4,1031,788
4,1032,793
4,1033,632
4,1036,684
4,1073,672
4,1079,680
4,1089,783
4,1097,618
4,1125,772
4,1127,719
4,1136,660
4,1194,757
4,1196,762
4,1197,715
4,1198,605
4,1200,775
4,1206,645
4,1208,643
4,1210,612
4,1213,749
4,1214,751
4,1219,684
4,1220,726
4,1222,617
4,1225,765
4,1230,642
4,1240,662
4,1243,768
4,1257,636
4,1258,648
4,1259,403
4,1265,795
4,1270,722
4,1278,672
4,1282,640
4,1285,426
4,1288,619
4,1291,676
4,1298,430
4,1307,450
4,1332,588
4,1334,710
4,1344,658
4,1356,444
4,1371,415
4,1372,320
4,1374,471
4,1376,260
4,1377,291
4,1380,674
4,1387,767
4,1388,516
4,1396,688
4,1544,257
4,1580,647
4,1663,587
4,1674,679
4,1858,799
4,1917,414
4,1918,158
4,1953,722
4,1954,749
4,1961,653
4,1967,383
4,1968,668
4,1994,721
4,2000,795
4,2002,331
4,2003,139
4,2005,632
4,2014,574
4,2018,688
4,2020,438
4,2021,508
4,2033,410
4,2034,406
4,2046,721
4,2054,344
4,2064,603
4,2078,765
4,2080,652
4,2081,408
4,2085,759
4,2086,671
4,2087,686
4,2091,651
4,2094,489
4,2096,759
4,2100,793
4,2102,645
4,2105,560
4,2109,793
4,2110,250
4,2114,792
4,2115,672
4,2124,588
4,2140,731
4,2141,445
4,2143,435
4,2144,666
4,2161,788
4,2174,688
4,2193,391
4,2194,633
4,2248,437
4,2263,307
4,2268,607
4,2289,607
4,2348,502
4,2371,411
4,2403,508
4,2406,675
4,2409,407
4,2454,712
4,2467,615
4,2551,462
4,2628,781
4,2640,798
4,2659,385
4,2683,466
4,2699,543
4,2716,601
4,2723,698
4,2734,596
4,2788,643
4,2791,642
4,2795,469
4,2797,616
4,2804,768
4,2822,369
4,2867,386
4,2872,758
4,2877,754
4,2902,165
4,2916,584
4,2918,708
4,2968,794
4,2986,242
4,2987,644
4,2991,628
4,3016,300
4,3034,664
4,3039,536
4,3040,697
4,3060,781
4,3071,474
4,3101,493
4,3104,450
4,3108,662
4,3169,528
4,3208,125
4,3210,543
4,3251,738
4,3255,568
4,3263,376
4,3265,776
4,4006,127
5,3,449
5,39,509
5,104,414
5,141,598
5,150,500
5,231,548
5,277,683
5,344,472
5,356,446
5,364,514
5,367,481
5,377,495
5,440,518
5,500,673
5,586,567
5,588,476
5,595,569
5,597,773
5,788,419
5,858,336
5,903,533
5,919,595
5,1022,486
5,1035,720
5,1193,334
5,1221,213
5,1247,512
