InstrumentID,Currency,Ignore,Expired
31,USD,False,False
1029,USD,False,False
1061,EUR,False,False
1129,CHF,False,False
1172,GBP,False,False
1263,EUR,False,False
1287,USD,False,False
1293,CHF,False,False
1339,USD,False,False
1343,USD,False,False
1371,USD,False,False
1953,USD,False,False
2105,CHF,False,False
2150,USD,False,False
2193,EUR,False,False
2294,USD,False,False
2455,USD,False,False
3671,CHF,False,False
10,USD,False,False
17,USD,False,False
39,EUR,False,False
47,USD,False,False
50,USD,False,False
52,USD,False,False
62,CHF,False,False
110,USD,False,False
144,USD,False,False
150,GBP,False,False
153,GBP,False,False
161,CHF,False,False
165,EUR,False,False
168,EUR,False,False
185,USD,False,False
186,USD,False,False
208,CHF,False,False
222,EUR,False,False
225,CHF,False,False
235,GBP,False,False
248,USD,False,False
253,EUR,False,False
261,EUR,False,False
265,CHF,False,False
266,USD,False,False
272,EUR,False,False
273,USD,False,False
292,USD,False,False
296,USD,False,False
300,USD,False,False
314,CHF,False,False
317,CHF,False,False
339,CHF,False,False
349,USD,False,False
350,GBP,False,False
356,CHF,False,False
357,EUR,False,False
364,USD,False,False
367,GBP,False,False
370,USD,False,False
371,USD,False,False
372,EUR,False,False
377,EUR,False,False
382,USD,False,False
405,USD,False,False
410,CHF,False,False
454,EUR,False,False
457,CHF,False,False
468,EUR,False,False
474,CHF,False,False
480,EUR,False,False
485,CHF,False,False
497,USD,False,False
500,USD,False,False
508,EUR,False,False
509,CHF,False,False
515,GBP,False,False
527,USD,False,False
537,USD,False,False
539,GBP,False,False
550,EUR,False,False
551,EUR,False,False
552,USD,False,False
585,EUR,False,False
586,CHF,False,False
587,EUR,False,False
588,GBP,False,False
589,USD,False,False
590,CHF,False,False
592,EUR,False,False
593,CHF,False,False
616,USD,False,False
661,CHF,False,False
720,USD,False,False
60,USD,False,False
247,CHF,False,False
267,USD,False,False
318,CHF,False,False
355,USD,False,False
595,USD,False,False
736,GBP,False,False
778,GBP,False,False
866,USD,False,False
1197,GBP,False,False
1210,CHF,False,False
1235,USD,False,False
1271,USD,False,False
1378,USD,False,False
1580,USD,False,False
1721,EUR,False,False
1884,USD,False,False
2028,EUR,False,False
2318,EUR,False,False
2513,USD,False,False
2694,CHF,False,False
2702,GBP,False,False
2716,CHF,False,False
2762,EUR,False,False
2841,USD,False,False
2858,USD,False,False
2959,USD,False,False
3243,EUR,True,False
3510,CHF,False,False
3949,CHF,False,False
5349,CHF,False,False
5669,CHF,False,False
6377,EUR,False,False
